notebook,condition,top_k,count,token_f1,exact_match,context_precision,context_recall,faithfulness,answer_relevancy,token_f1_ir_only,diagnostic_note,kaggle_link
01_ir_baseline_retrieval.ipynb,dense_rag,3.000000,20.000000,0.142661,0.000000,0.283333,0.354167,1.000000,0.239035,0.142661,Dense IR-only extractive baseline; compare recall against BM25 before rerunning SLM RAG.,
01_ir_baseline_retrieval.ipynb,dense_rag,5.000000,20.000000,0.145552,0.000000,0.280000,0.486667,1.000000,0.243452,0.145552,Dense IR-only extractive baseline; compare recall against BM25 before rerunning SLM RAG.,
01_ir_baseline_retrieval.ipynb,dense_rag,8.000000,20.000000,0.143987,0.000000,0.231250,0.570000,1.000000,0.254781,0.143987,Dense IR-only extractive baseline; compare recall against BM25 before rerunning SLM RAG.,
01_ir_baseline_retrieval.ipynb,dense_rag,10.000000,20.000000,0.143987,0.000000,0.235000,0.615000,1.000000,0.254781,0.143987,Dense IR-only extractive baseline; compare recall against BM25 before rerunning SLM RAG.,
01_ir_baseline_retrieval.ipynb,hybrid_rag,3.000000,20.000000,0.120189,0.000000,0.333333,0.416667,1.000000,0.228230,0.120189,Hybrid BM25+dense RRF IR-only baseline; candidate retriever for the next full diagnostic run.,
01_ir_baseline_retrieval.ipynb,hybrid_rag,5.000000,20.000000,0.120189,0.000000,0.270000,0.453333,1.000000,0.228230,0.120189,Hybrid BM25+dense RRF IR-only baseline; candidate retriever for the next full diagnostic run.,
01_ir_baseline_retrieval.ipynb,hybrid_rag,8.000000,20.000000,0.116618,0.000000,0.231250,0.495000,1.000000,0.223800,0.116618,Hybrid BM25+dense RRF IR-only baseline; candidate retriever for the next full diagnostic run.,
01_ir_baseline_retrieval.ipynb,hybrid_rag,10.000000,20.000000,0.112536,0.000000,0.215000,0.495000,1.000000,0.226961,0.112536,Hybrid BM25+dense RRF IR-only baseline; candidate retriever for the next full diagnostic run.,
01_ir_baseline_retrieval.ipynb,bm25_rag,3.000000,20.000000,0.083107,0.000000,0.200000,0.275000,1.000000,0.205460,0.083107,"IR-only extractive baseline; no SLM generator, useful as CPU retrieval baseline.",
01_ir_baseline_retrieval.ipynb,bm25_rag,5.000000,20.000000,0.099684,0.000000,0.190000,0.322222,1.000000,0.223793,0.099684,"IR-only extractive baseline; no SLM generator, useful as CPU retrieval baseline.",
01_ir_baseline_retrieval.ipynb,bm25_rag,8.000000,20.000000,0.102949,0.000000,0.181250,0.383889,1.000000,0.200341,0.102949,"IR-only extractive baseline; no SLM generator, useful as CPU retrieval baseline.",
01_ir_baseline_retrieval.ipynb,bm25_rag,10.000000,20.000000,0.102949,0.000000,0.180000,0.458889,1.000000,0.200341,0.102949,"IR-only extractive baseline; no SLM generator, useful as CPU retrieval baseline.",
05_full_diagnostic_rag_comparison.ipynb,bm25_rag,,20.000000,0.166549,0.000000,0.190000,0.322222,0.847464,0.515813,,Canonical BM25 RAG condition from the multi-condition run; improves over no retrieval but recall is low.,
05_full_diagnostic_rag_comparison.ipynb,dense_rag,,20.000000,0.212346,0.050000,0.280000,0.486667,0.732929,0.519855,,Dense RAG condition from the multi-condition run; compare against BM25 and oracle.,
05_full_diagnostic_rag_comparison.ipynb,hybrid_rag,,20.000000,0.247631,0.050000,0.270000,0.453333,0.804933,0.554955,,Hybrid BM25+dense RRF RAG condition from the multi-condition run; tests whether better retrieval improves SLM output.,
05_full_diagnostic_rag_comparison.ipynb,no_retrieval,,20.000000,0.073784,0.000000,0.000000,0.000000,0.000000,0.131323,,Canonical no-retrieval baseline from the multi-condition run.,
05_full_diagnostic_rag_comparison.ipynb,oracle,,20.000000,0.224438,0.000000,0.560000,0.820833,0.725789,0.532198,,"Canonical oracle condition; strongest Token F1, but still low relative to context recall.",
05_full_diagnostic_rag_comparison.ipynb,random_distractor,,20.000000,0.105338,0.000000,0.000000,0.000000,0.453496,0.280931,,Canonical distractor condition from the multi-condition run.,
